ID,role_ID,permission_ID
bb0e8400-e29b-41d4-a716-446655440001,990e8400-e29b-41d4-a716-446655440001,aa0e8400-e29b-41d4-a716-446655440001
bb0e8400-e29b-41d4-a716-446655440002,990e8400-e29b-41d4-a716-446655440001,aa0e8400-e29b-41d4-a716-446655440002
bb0e8400-e29b-41d4-a716-446655440003,990e8400-e29b-41d4-a716-446655440001,aa0e8400-e29b-41d4-a716-446655440003
bb0e8400-e29b-41d4-a716-446655440004,990e8400-e29b-41d4-a716-446655440001,aa0e8400-e29b-41d4-a716-446655440004
bb0e8400-e29b-41d4-a716-446655440005,990e8400-e29b-41d4-a716-446655440002,aa0e8400-e29b-41d4-a716-446655440050
bb0e8400-e29b-41d4-a716-446655440006,990e8400-e29b-41d4-a716-446655440003,aa0e8400-e29b-41d4-a716-446655440009
bb0e8400-e29b-41d4-a716-446655440007,990e8400-e29b-41d4-a716-446655440003,aa0e8400-e29b-41d4-a716-446655440010
bb0e8400-e29b-41d4-a716-446655440008,990e8400-e29b-41d4-a716-446655440003,aa0e8400-e29b-41d4-a716-446655440011
bb0e8400-e29b-41d4-a716-446655440009,990e8400-e29b-41d4-a716-446655440004,aa0e8400-e29b-41d4-a716-446655440014
bb0e8400-e29b-41d4-a716-446655440010,990e8400-e29b-41d4-a716-446655440004,aa0e8400-e29b-41d4-a716-446655440015
bb0e8400-e29b-41d4-a716-446655440011,990e8400-e29b-41d4-a716-446655440006,aa0e8400-e29b-41d4-a716-446655440005
bb0e8400-e29b-41d4-a716-446655440012,990e8400-e29b-41d4-a716-446655440006,aa0e8400-e29b-41d4-a716-446655440006
bb0e8400-e29b-41d4-a716-446655440013,990e8400-e29b-41d4-a716-446655440006,aa0e8400-e29b-41d4-a716-446655440007
bb0e8400-e29b-41d4-a716-446655440014,990e8400-e29b-41d4-a716-446655440007,aa0e8400-e29b-41d4-a716-446655440030
bb0e8400-e29b-41d4-a716-446655440015,990e8400-e29b-41d4-a716-446655440007,aa0e8400-e29b-41d4-a716-446655440031
bb0e8400-e29b-41d4-a716-446655440016,990e8400-e29b-41d4-a716-446655440009,aa0e8400-e29b-41d4-a716-446655440033
bb0e8400-e29b-41d4-a716-446655440017,990e8400-e29b-41d4-a716-446655440009,aa0e8400-e29b-41d4-a716-446655440034
bb0e8400-e29b-41d4-a716-446655440018,990e8400-e29b-41d4-a716-446655440010,aa0e8400-e29b-41d4-a716-446655440035
bb0e8400-e29b-41d4-a716-446655440019,990e8400-e29b-41d4-a716-446655440010,aa0e8400-e29b-41d4-a716-446655440036
bb0e8400-e29b-41d4-a716-446655440020,990e8400-e29b-41d4-a716-446655440012,aa0e8400-e29b-41d4-a716-446655440017
bb0e8400-e29b-41d4-a716-446655440021,990e8400-e29b-41d4-a716-446655440012,aa0e8400-e29b-41d4-a716-446655440018
bb0e8400-e29b-41d4-a716-446655440022,990e8400-e29b-41d4-a716-446655440013,aa0e8400-e29b-41d4-a716-446655440019
bb0e8400-e29b-41d4-a716-446655440023,990e8400-e29b-41d4-a716-446655440013,aa0e8400-e29b-41d4-a716-446655440020
bb0e8400-e29b-41d4-a716-446655440024,990e8400-e29b-41d4-a716-446655440015,aa0e8400-e29b-41d4-a716-446655440025
bb0e8400-e29b-41d4-a716-446655440025,990e8400-e29b-41d4-a716-446655440016,aa0e8400-e29b-41d4-a716-446655440026
