ID,code,name,domain,active,createdAt,createdBy,modifiedAt,modifiedBy
550e8400-e29b-41d4-a716-446655440001,C001,Company 01,company01.com,true,2024-01-01T08:00:00Z,system,2024-01-05T08:00:00Z,system
550e8400-e29b-41d4-a716-446655440002,C002,Company 02,company02.com,true,2024-01-01T08:01:00Z,system,2024-01-05T08:01:00Z,system
550e8400-e29b-41d4-a716-446655440003,C003,Company 03,company03.com,true,2024-01-01T08:02:00Z,system,2024-01-05T08:02:00Z,system
550e8400-e29b-41d4-a716-446655440004,C004,Company 04,company04.com,true,2024-01-01T08:03:00Z,system,2024-01-05T08:03:00Z,system
550e8400-e29b-41d4-a716-446655440005,C005,Company 05,company05.com,true,2024-01-01T08:04:00Z,system,2024-01-05T08:04:00Z,system
550e8400-e29b-41d4-a716-446655440006,C006,Company 06,company06.com,true,2024-01-01T08:05:00Z,system,2024-01-05T08:05:00Z,system
550e8400-e29b-41d4-a716-446655440007,C007,Company 07,company07.com,true,2024-01-01T08:06:00Z,system,2024-01-05T08:06:00Z,system
550e8400-e29b-41d4-a716-446655440008,C008,Company 08,company08.com,true,2024-01-01T08:07:00Z,system,2024-01-05T08:07:00Z,system
550e8400-e29b-41d4-a716-446655440009,C009,Company 09,company09.com,true,2024-01-01T08:08:00Z,system,2024-01-05T08:08:00Z,system
550e8400-e29b-41d4-a716-446655440010,C010,Company 10,company10.com,true,2024-01-01T08:09:00Z,system,2024-01-05T08:09:00Z,system
550e8400-e29b-41d4-a716-446655440011,C011,Company 11,company11.com,true,2024-01-01T08:10:00Z,system,2024-01-05T08:10:00Z,system
550e8400-e29b-41d4-a716-446655440012,C012,Company 12,company12.com,true,2024-01-01T08:11:00Z,system,2024-01-05T08:11:00Z,system
550e8400-e29b-41d4-a716-446655440013,C013,Company 13,company13.com,true,2024-01-01T08:12:00Z,system,2024-01-05T08:12:00Z,system
550e8400-e29b-41d4-a716-446655440014,C014,Company 14,company14.com,true,2024-01-01T08:13:00Z,system,2024-01-05T08:13:00Z,system
550e8400-e29b-41d4-a716-446655440015,C015,Company 15,company15.com,true,2024-01-01T08:14:00Z,system,2024-01-05T08:14:00Z,system
550e8400-e29b-41d4-a716-446655440016,C016,Company 16,company16.com,true,2024-01-01T08:15:00Z,system,2024-01-05T08:15:00Z,system
550e8400-e29b-41d4-a716-446655440017,C017,Company 17,company17.com,true,2024-01-01T08:16:00Z,system,2024-01-05T08:16:00Z,system
550e8400-e29b-41d4-a716-446655440018,C018,Company 18,company18.com,true,2024-01-01T08:17:00Z,system,2024-01-05T08:17:00Z,system
550e8400-e29b-41d4-a716-446655440019,C019,Company 19,company19.com,true,2024-01-01T08:18:00Z,system,2024-01-05T08:18:00Z,system
550e8400-e29b-41d4-a716-446655440020,C020,Company 20,company20.com,true,2024-01-01T08:19:00Z,system,2024-01-05T08:19:00Z,system
550e8400-e29b-41d4-a716-446655440021,C021,Company 21,company21.com,true,2024-01-01T08:20:00Z,system,2024-01-05T08:20:00Z,system
550e8400-e29b-41d4-a716-446655440022,C022,Company 22,company22.com,true,2024-01-01T08:21:00Z,system,2024-01-05T08:21:00Z,system
