ID,user_ID,role_ID
cc0e8400-e29b-41d4-a716-446655440001,880e8400-e29b-41d4-a716-446655440001,990e8400-e29b-41d4-a716-446655440001
cc0e8400-e29b-41d4-a716-446655440002,880e8400-e29b-41d4-a716-446655440002,990e8400-e29b-41d4-a716-446655440003
cc0e8400-e29b-41d4-a716-446655440003,880e8400-e29b-41d4-a716-446655440003,990e8400-e29b-41d4-a716-446655440004
cc0e8400-e29b-41d4-a716-446655440004,880e8400-e29b-41d4-a716-446655440004,990e8400-e29b-41d4-a716-446655440005
cc0e8400-e29b-41d4-a716-446655440005,880e8400-e29b-41d4-a716-446655440005,990e8400-e29b-41d4-a716-446655440006
cc0e8400-e29b-41d4-a716-446655440006,880e8400-e29b-41d4-a716-446655440006,990e8400-e29b-41d4-a716-446655440007
cc0e8400-e29b-41d4-a716-446655440007,880e8400-e29b-41d4-a716-446655440007,990e8400-e29b-41d4-a716-446655440008
cc0e8400-e29b-41d4-a716-446655440008,880e8400-e29b-41d4-a716-446655440008,990e8400-e29b-41d4-a716-446655440009
cc0e8400-e29b-41d4-a716-446655440009,880e8400-e29b-41d4-a716-446655440009,990e8400-e29b-41d4-a716-446655440010
cc0e8400-e29b-41d4-a716-446655440010,880e8400-e29b-41d4-a716-446655440010,990e8400-e29b-41d4-a716-446655440011
cc0e8400-e29b-41d4-a716-446655440011,880e8400-e29b-41d4-a716-446655440011,990e8400-e29b-41d4-a716-446655440012
cc0e8400-e29b-41d4-a716-446655440012,880e8400-e29b-41d4-a716-446655440012,990e8400-e29b-41d4-a716-446655440013
cc0e8400-e29b-41d4-a716-446655440013,880e8400-e29b-41d4-a716-446655440013,990e8400-e29b-41d4-a716-446655440014
cc0e8400-e29b-41d4-a716-446655440014,880e8400-e29b-41d4-a716-446655440014,990e8400-e29b-41d4-a716-446655440015
cc0e8400-e29b-41d4-a716-446655440015,880e8400-e29b-41d4-a716-446655440015,990e8400-e29b-41d4-a716-446655440016
cc0e8400-e29b-41d4-a716-446655440016,880e8400-e29b-41d4-a716-446655440016,990e8400-e29b-41d4-a716-446655440017
cc0e8400-e29b-41d4-a716-446655440017,880e8400-e29b-41d4-a716-446655440017,990e8400-e29b-41d4-a716-446655440018
cc0e8400-e29b-41d4-a716-446655440018,880e8400-e29b-41d4-a716-446655440018,990e8400-e29b-41d4-a716-446655440019
cc0e8400-e29b-41d4-a716-446655440019,880e8400-e29b-41d4-a716-446655440019,990e8400-e29b-41d4-a716-446655440020
cc0e8400-e29b-41d4-a716-446655440020,880e8400-e29b-41d4-a716-446655440020,990e8400-e29b-41d4-a716-446655440021
cc0e8400-e29b-41d4-a716-446655440021,880e8400-e29b-41d4-a716-446655440021,990e8400-e29b-41d4-a716-446655440022
cc0e8400-e29b-41d4-a716-446655440022,880e8400-e29b-41d4-a716-446655440022,990e8400-e29b-41d4-a716-446655440023
cc0e8400-e29b-41d4-a716-446655440023,880e8400-e29b-41d4-a716-446655440023,990e8400-e29b-41d4-a716-446655440024
cc0e8400-e29b-41d4-a716-446655440024,880e8400-e29b-41d4-a716-446655440024,990e8400-e29b-41d4-a716-446655440025
cc0e8400-e29b-41d4-a716-446655440025,880e8400-e29b-41d4-a716-446655440025,990e8400-e29b-41d4-a716-446655440026
cc0e8400-e29b-41d4-a716-446655440026,880e8400-e29b-41d4-a716-446655440026,990e8400-e29b-41d4-a716-446655440027
cc0e8400-e29b-41d4-a716-446655440027,880e8400-e29b-41d4-a716-446655440027,990e8400-e29b-41d4-a716-446655440028
cc0e8400-e29b-41d4-a716-446655440028,880e8400-e29b-41d4-a716-446655440028,990e8400-e29b-41d4-a716-446655440029
cc0e8400-e29b-41d4-a716-446655440029,880e8400-e29b-41d4-a716-446655440029,990e8400-e29b-41d4-a716-446655440030
cc0e8400-e29b-41d4-a716-446655440030,880e8400-e29b-41d4-a716-446655440030,990e8400-e29b-41d4-a716-446655440031
cc0e8400-e29b-41d4-a716-446655440031,880e8400-e29b-41d4-a716-446655440031,990e8400-e29b-41d4-a716-446655440032
cc0e8400-e29b-41d4-a716-446655440032,880e8400-e29b-41d4-a716-446655440032,990e8400-e29b-41d4-a716-446655440033
cc0e8400-e29b-41d4-a716-446655440033,880e8400-e29b-41d4-a716-446655440033,990e8400-e29b-41d4-a716-446655440034
cc0e8400-e29b-41d4-a716-446655440034,880e8400-e29b-41d4-a716-446655440034,990e8400-e29b-41d4-a716-446655440035
cc0e8400-e29b-41d4-a716-446655440035,880e8400-e29b-41d4-a716-446655440035,990e8400-e29b-41d4-a716-446655440036
