ID,name,company_ID,createdAt,createdBy,modifiedAt,modifiedBy
660e8400-e29b-41d4-a716-446655440001,HR,550e8400-e29b-41d4-a716-446655440001,2024-01-02T08:00:00Z,system,2024-01-06T08:00:00Z,system
660e8400-e29b-41d4-a716-446655440002,Finance,550e8400-e29b-41d4-a716-446655440002,2024-01-02T08:01:00Z,system,2024-01-06T08:01:00Z,system
660e8400-e29b-41d4-a716-446655440003,Engineering,550e8400-e29b-41d4-a716-446655440003,2024-01-02T08:02:00Z,system,2024-01-06T08:02:00Z,system
660e8400-e29b-41d4-a716-446655440004,Sales,550e8400-e29b-41d4-a716-446655440004,2024-01-02T08:03:00Z,system,2024-01-06T08:03:00Z,system
660e8400-e29b-41d4-a716-446655440005,Marketing,550e8400-e29b-41d4-a716-446655440005,2024-01-02T08:04:00Z,system,2024-01-06T08:04:00Z,system
660e8400-e29b-41d4-a716-446655440006,IT Support,550e8400-e29b-41d4-a716-446655440006,2024-01-02T08:05:00Z,system,2024-01-06T08:05:00Z,system
660e8400-e29b-41d4-a716-446655440007,Operations,550e8400-e29b-41d4-a716-446655440007,2024-01-02T08:06:00Z,system,2024-01-06T08:06:00Z,system
660e8400-e29b-41d4-a716-446655440008,Legal,550e8400-e29b-41d4-a716-446655440008,2024-01-02T08:07:00Z,system,2024-01-06T08:07:00Z,system
660e8400-e29b-41d4-a716-446655440009,Procurement,550e8400-e29b-41d4-a716-446655440009,2024-01-02T08:08:00Z,system,2024-01-06T08:08:00Z,system
660e8400-e29b-41d4-a716-446655440010,Customer Support,550e8400-e29b-41d4-a716-446655440010,2024-01-02T08:09:00Z,system,2024-01-06T08:09:00Z,system
660e8400-e29b-41d4-a716-446655440011,HR,550e8400-e29b-41d4-a716-446655440011,2024-01-02T08:10:00Z,system,2024-01-06T08:10:00Z,system
660e8400-e29b-41d4-a716-446655440012,Finance,550e8400-e29b-41d4-a716-446655440012,2024-01-02T08:11:00Z,system,2024-01-06T08:11:00Z,system
660e8400-e29b-41d4-a716-446655440013,Engineering,550e8400-e29b-41d4-a716-446655440013,2024-01-02T08:12:00Z,system,2024-01-06T08:12:00Z,system
660e8400-e29b-41d4-a716-446655440014,Sales,550e8400-e29b-41d4-a716-446655440014,2024-01-02T08:13:00Z,system,2024-01-06T08:13:00Z,system
660e8400-e29b-41d4-a716-446655440015,Marketing,550e8400-e29b-41d4-a716-446655440015,2024-01-02T08:14:00Z,system,2024-01-06T08:14:00Z,system
660e8400-e29b-41d4-a716-446655440016,IT Support,550e8400-e29b-41d4-a716-446655440016,2024-01-02T08:15:00Z,system,2024-01-06T08:15:00Z,system
660e8400-e29b-41d4-a716-446655440017,Operations,550e8400-e29b-41d4-a716-446655440017,2024-01-02T08:16:00Z,system,2024-01-06T08:16:00Z,system
660e8400-e29b-41d4-a716-446655440018,Legal,550e8400-e29b-41d4-a716-446655440018,2024-01-02T08:17:00Z,system,2024-01-06T08:17:00Z,system
660e8400-e29b-41d4-a716-446655440019,Procurement,550e8400-e29b-41d4-a716-446655440019,2024-01-02T08:18:00Z,system,2024-01-06T08:18:00Z,system
660e8400-e29b-41d4-a716-446655440020,Customer Support,550e8400-e29b-41d4-a716-446655440020,2024-01-02T08:19:00Z,system,2024-01-06T08:19:00Z,system
660e8400-e29b-41d4-a716-446655440021,HR,550e8400-e29b-41d4-a716-446655440021,2024-01-02T08:20:00Z,system,2024-01-06T08:20:00Z,system
660e8400-e29b-41d4-a716-446655440022,Finance,550e8400-e29b-41d4-a716-446655440022,2024-01-02T08:21:00Z,system,2024-01-06T08:21:00Z,system
660e8400-e29b-41d4-a716-446655440023,Engineering,550e8400-e29b-41d4-a716-446655440023,2024-01-02T08:22:00Z,system,2024-01-06T08:22:00Z,system
660e8400-e29b-41d4-a716-446655440024,Sales,550e8400-e29b-41d4-a716-446655440024,2024-01-02T08:23:00Z,system,2024-01-06T08:23:00Z,system
660e8400-e29b-41d4-a716-446655440025,Marketing,550e8400-e29b-41d4-a716-446655440025,2024-01-02T08:24:00Z,system,2024-01-06T08:24:00Z,system
660e8400-e29b-41d4-a716-446655440026,IT Support,550e8400-e29b-41d4-a716-446655440026,2024-01-02T08:25:00Z,system,2024-01-06T08:25:00Z,system
660e8400-e29b-41d4-a716-446655440027,Operations,550e8400-e29b-41d4-a716-446655440027,2024-01-02T08:26:00Z,system,2024-01-06T08:26:00Z,system
660e8400-e29b-41d4-a716-446655440028,Legal,550e8400-e29b-41d4-a716-446655440028,2024-01-02T08:27:00Z,system,2024-01-06T08:27:00Z,system
660e8400-e29b-41d4-a716-446655440029,Procurement,550e8400-e29b-41d4-a716-446655440029,2024-01-02T08:28:00Z,system,2024-01-06T08:28:00Z,system
660e8400-e29b-41d4-a716-446655440030,Customer Support,550e8400-e29b-41d4-a716-446655440030,2024-01-02T08:29:00Z,system,2024-01-06T08:29:00Z,system
660e8400-e29b-41d4-a716-446655440031,HR,550e8400-e29b-41d4-a716-446655440031,2024-01-02T08:30:00Z,system,2024-01-06T08:30:00Z,system
660e8400-e29b-41d4-a716-446655440032,Finance,550e8400-e29b-41d4-a716-446655440032,2024-01-02T08:31:00Z,system,2024-01-06T08:31:00Z,system
660e8400-e29b-41d4-a716-446655440033,Engineering,550e8400-e29b-41d4-a716-446655440033,2024-01-02T08:32:00Z,system,2024-01-06T08:32:00Z,system
660e8400-e29b-41d4-a716-446655440034,Sales,550e8400-e29b-41d4-a716-446655440034,2024-01-02T08:33:00Z,system,2024-01-06T08:33:00Z,system
660e8400-e29b-41d4-a716-446655440035,Marketing,550e8400-e29b-41d4-a716-446655440035,2024-01-02T08:34:00Z,system,2024-01-06T08:34:00Z,system
660e8400-e29b-41d4-a716-446655440036,IT Support,550e8400-e29b-41d4-a716-446655440036,2024-01-02T08:35:00Z,system,2024-01-06T08:35:00Z,system
660e8400-e29b-41d4-a716-446655440037,Operations,550e8400-e29b-41d4-a716-446655440037,2024-01-02T08:36:00Z,system,2024-01-06T08:36:00Z,system
660e8400-e29b-41d4-a716-446655440038,Legal,550e8400-e29b-41d4-a716-446655440038,2024-01-02T08:37:00Z,system,2024-01-06T08:37:00Z,system
660e8400-e29b-41d4-a716-446655440039,Procurement,550e8400-e29b-41d4-a716-446655440039,2024-01-02T08:38:00Z,system,2024-01-06T08:38:00Z,system
660e8400-e29b-41d4-a716-446655440040,Customer Support,550e8400-e29b-41d4-a716-446655440040,2024-01-02T08:39:00Z,system,2024-01-06T08:39:00Z,system
660e8400-e29b-41d4-a716-446655440041,HR,550e8400-e29b-41d4-a716-446655440041,2024-01-02T08:40:00Z,system,2024-01-06T08:40:00Z,system
660e8400-e29b-41d4-a716-446655440042,Finance,550e8400-e29b-41d4-a716-446655440042,2024-01-02T08:41:00Z,system,2024-01-06T08:41:00Z,system
660e8400-e29b-41d4-a716-446655440043,Engineering,550e8400-e29b-41d4-a716-446655440043,2024-01-02T08:42:00Z,system,2024-01-06T08:42:00Z,system
660e8400-e29b-41d4-a716-446655440044,Sales,550e8400-e29b-41d4-a716-446655440044,2024-01-02T08:43:00Z,system,2024-01-06T08:43:00Z,system
660e8400-e29b-41d4-a716-446655440045,Marketing,550e8400-e29b-41d4-a716-446655440045,2024-01-02T08:44:00Z,system,2024-01-06T08:44:00Z,system
660e8400-e29b-41d4-a716-446655440046,IT Support,550e8400-e29b-41d4-a716-446655440046,2024-01-02T08:45:00Z,system,2024-01-06T08:45:00Z,system
660e8400-e29b-41d4-a716-446655440047,Operations,550e8400-e29b-41d4-a716-446655440047,2024-01-02T08:46:00Z,system,2024-01-06T08:46:00Z,system
660e8400-e29b-41d4-a716-446655440048,Legal,550e8400-e29b-41d4-a716-446655440048,2024-01-02T08:47:00Z,system,2024-01-06T08:47:00Z,system
660e8400-e29b-41d4-a716-446655440049,Procurement,550e8400-e29b-41d4-a716-446655440049,2024-01-02T08:48:00Z,system,2024-01-06T08:48:00Z,system
660e8400-e29b-41d4-a716-446655440050,Customer Support,550e8400-e29b-41d4-a716-446655440050,2024-01-02T08:49:00Z,system,2024-01-06T08:49:00Z,system
