ID,users_ID,title,message,read,createdAt,createdBy,modifiedAt,modifiedBy
ff0e8400-e29b-41d4-a716-446655440001,880e8400-e29b-41d4-a716-446655440001,Welcome,Welcome to the system,false,2024-01-07T08:00:00Z,system,2024-01-07T08:00:00Z,system
ff0e8400-e29b-41d4-a716-446655440002,880e8400-e29b-41d4-a716-446655440002,Profile Updated,Your profile was updated,false,2024-01-07T08:01:00Z,system,2024-01-07T08:01:00Z,system
ff0e8400-e29b-41d4-a716-446655440003,880e8400-e29b-41d4-a716-446655440003,Approval Pending,You have an approval pending,false,2024-01-07T08:02:00Z,system,2024-01-07T08:02:00Z,system
ff0e8400-e29b-41d4-a716-446655440004,880e8400-e29b-41d4-a716-446655440004,Approval Approved,Your request was approved,true,2024-01-07T08:03:00Z,system,2024-01-07T08:03:00Z,system
ff0e8400-e29b-41d4-a716-446655440005,880e8400-e29b-41d4-a716-446655440005,Approval Rejected,Your request was rejected,false,2024-01-07T08:04:00Z,system,2024-01-07T08:04:00Z,system
ff0e8400-e29b-41d4-a716-446655440006,880e8400-e29b-41d4-a716-446655440006,System Alert,Please review system alert,false,2024-01-07T08:05:00Z,system,2024-01-07T08:05:00Z,system
ff0e8400-e29b-41d4-a716-446655440007,880e8400-e29b-41d4-a716-446655440007,Password Changed,Your password was changed,true,2024-01-07T08:06:00Z,system,2024-01-07T08:06:00Z,system
ff0e8400-e29b-41d4-a716-446655440008,880e8400-e29b-41d4-a716-446655440008,New Role Assigned,A new role was assigned to you,false,2024-01-07T08:07:00Z,system,2024-01-07T08:07:00Z,system
ff0e8400-e29b-41d4-a716-446655440009,880e8400-e29b-41d4-a716-446655440009,Access Granted,You have been granted access,true,2024-01-07T08:08:00Z,system,2024-01-07T08:08:00Z,system
ff0e8400-e29b-41d4-a716-446655440010,880e8400-e29b-41d4-a716-446655440010,Reminder,Please complete pending task,false,2024-01-07T08:09:00Z,system,2024-01-07T08:09:00Z,system
ff0e8400-e29b-41d4-a716-446655440011,880e8400-e29b-41d4-a716-446655440011,Welcome,Welcome aboard,false,2024-01-07T08:10:00Z,system,2024-01-07T08:10:00Z,system
ff0e8400-e29b-41d4-a716-446655440012,880e8400-e29b-41d4-a716-446655440012,Profile Updated,Profile changes saved,true,2024-01-07T08:11:00Z,system,2024-01-07T08:11:00Z,system
ff0e8400-e29b-41d4-a716-446655440013,880e8400-e29b-41d4-a716-446655440013,Approval Pending,New approval request,false,2024-01-07T08:12:00Z,system,2024-01-07T08:12:00Z,system
ff0e8400-e29b-41d4-a716-446655440014,880e8400-e29b-41d4-a716-446655440014,Approval Approved,Approved successfully,true,2024-01-07T08:13:00Z,system,2024-01-07T08:13:00Z,system
ff0e8400-e29b-41d4-a716-446655440015,880e8400-e29b-41d4-a716-446655440015,Approval Rejected,Rejected due to policy,false,2024-01-07T08:14:00Z,system,2024-01-07T08:14:00Z,system
ff0e8400-e29b-41d4-a716-446655440016,880e8400-e29b-41d4-a716-446655440016,System Notice,Maintenance scheduled,false,2024-01-07T08:15:00Z,system,2024-01-07T08:15:00Z,system
